obs_id,true_cell_id
0,2
1,13
2,14
3,32
4,35
5,39
6,41
7,43
8,48
9,53
10,60
11,66
12,68
13,76
14,79
15,85
16,88
17,93
18,98
19,100
20,103
21,104
22,105
23,114
24,115
25,116
26,119
27,121
28,122
29,126
30,129
31,133
32,135
33,136
34,137
35,139
36,147
37,150
38,151
39,152
40,153
41,155
42,157
43,158
44,162
45,165
46,166
47,170
48,178
49,179
50,180
51,183
52,186
53,193
54,194
55,196
56,201
57,203
58,207
59,208
60,209
61,210
62,213
63,214
64,216
65,221
66,224
67,225
68,227
69,229
70,231
71,232
72,238
73,247
74,251
75,253
76,254
77,255
78,256
79,259
80,262
81,266
82,267
83,268
84,269
85,271
86,273
87,278
88,280
89,282
90,285
91,286
92,287
93,291
94,292
95,296
96,297
97,299
98,302
99,303
100,308
101,310
102,311
103,312
104,314
105,316
106,317
107,318
108,321
109,322
110,323
111,324
112,329
113,330
114,332
115,333
116,335
117,337
118,338
119,340
120,341
121,343
122,344
123,347
124,348
125,351
126,352
127,353
128,357
129,359
130,362
131,366
132,369
133,372
134,373
135,374
136,378
137,379
138,381
139,382
140,383
141,384
142,385
143,387
144,388
145,392
146,393
147,396
148,399
149,402
150,403
151,405
152,409
153,410
154,411
155,412
156,413
157,414
158,415
159,416
160,417
161,418
162,419
163,422
164,424
165,425
166,427
167,430
168,431
169,433
170,435
171,436
172,438
173,439
174,442
175,443
176,444
177,445
178,446
179,447
180,451
181,452
182,453
183,454
184,455
185,456
186,458
187,459
188,460
189,461
190,466
191,467
192,468
193,469
194,473
195,474
196,475
197,478
198,479
199,480
200,481
201,482
202,483
203,484
204,486
205,487
206,488
207,489
208,490
209,491
210,492
211,494
212,497
213,498
214,499
215,502
216,503
217,504
218,506
219,507
220,510
221,511
222,513
223,515
224,516
225,517
226,520
227,522
228,523
229,524
230,525
231,526
232,529
233,530
234,531
235,534
236,535
237,536
238,537
239,540
240,541
241,542
242,544
243,546
244,547
245,548
246,549
247,550
248,551
249,552
250,553
251,554
252,555
253,556
254,557
255,558
256,560
257,561
258,562
259,563
260,564
261,565
262,566
263,567
264,571
265,572
266,573
267,574
268,576
269,577
270,578
271,579
272,580
273,581
274,582
275,583
276,584
277,585
278,586
279,587
280,588
281,589
282,590
283,591
284,593
285,594
286,595
287,596
288,597
289,598
290,599
291,600
292,601
293,602
294,603
295,604
296,605
297,606
298,607
299,608
300,609
301,610
302,612
303,613
304,614
305,616
306,618
307,619
308,620
309,623
310,624
311,626
312,627
313,628
314,629
315,630
316,631
317,632
318,633
319,634
320,635
321,636
322,637
323,638
324,639
325,640
326,641
327,642
328,643
329,644
330,645
331,646
332,647
333,649
334,650
335,651
336,652
337,653
338,654
339,655
340,656
341,657
342,658
343,659
344,660
345,661
346,662
347,663
348,664
349,665
350,666
351,667
352,669
353,670
354,671
355,672
356,673
357,674
358,675
359,676
360,677
361,678
362,679
363,680
364,681
365,682
366,683
367,684
368,685
369,686
370,687
371,688
372,689
373,691
374,692
375,693
376,694
377,695
378,696
379,697
380,698
381,699
382,700
383,701
384,702
385,703
386,704
387,705
388,706
389,707
390,708
391,709
392,710
393,711
394,712
395,713
396,714
397,715
398,716
399,717
400,718
401,719
402,720
403,721
404,722
405,723
406,724
407,725
408,726
409,727
410,728
411,729
412,730
413,731
414,732
415,733
416,734
417,735
