obs_id,x,y
0,7.184578,4.192791
1,1.190255,12.341188
2,0.175506,16.012240
3,20.654942,10.666968
4,16.800533,14.700709
5,16.426135,8.337421
6,4.560871,4.514544
7,16.555784,3.079244
8,5.262964,9.779566
9,-0.740333,11.353658
10,0.448072,5.154106
11,2.929648,7.274591
12,3.986525,17.635442
13,7.547019,1.446645
14,10.872847,11.447157
15,5.990603,0.996243
16,13.856589,16.027144
17,12.176754,19.612566
18,3.522369,1.717407
19,15.524643,7.133438
20,10.312463,16.403049
21,17.006227,17.770215
22,2.600113,14.230234
23,19.483595,11.373956
24,10.361156,6.089240
25,14.883124,16.700822
26,8.758126,15.359414
27,8.963050,5.559646
28,8.932303,8.667449
29,13.044849,4.482905
30,-1.031013,9.491432
31,12.390444,18.643492
32,7.077378,15.217209
33,16.570898,14.093015
34,12.774576,4.662341
35,2.768496,15.852844
36,5.318544,14.563778
37,18.606794,7.390347
38,7.489042,14.958432
39,12.811493,8.539020
40,13.558146,8.430087
41,7.307071,15.965799
42,7.525840,17.881288
43,1.962768,9.747710
44,3.287687,6.671694
45,0.566489,9.099147
46,-0.492224,10.166978
47,6.555328,9.794346
48,17.118055,8.268760
49,15.228903,14.800794
50,3.653256,5.980537
51,8.966449,19.325091
52,9.421756,18.659253
53,12.338764,12.610821
54,16.014806,5.184948
55,0.589868,8.845503
56,19.541240,7.800086
57,19.224513,8.163356
58,4.929018,13.956022
59,16.593192,11.501275
60,1.098644,8.903459
61,16.562613,4.231523
62,4.095889,6.072843
63,11.609605,4.975031
64,6.346795,10.713172
65,5.138489,8.366380
66,9.092001,19.845065
67,3.116409,10.087650
68,13.548166,15.943373
69,18.794865,16.872640
70,14.668277,4.698082
71,6.315021,17.513192
72,4.854401,16.879918
73,1.193291,5.633673
74,-0.070870,7.529440
75,5.906297,15.282504
76,16.988122,7.962777
77,16.542035,7.974281
78,9.202537,2.682323
79,11.799870,1.361930
80,18.198349,17.025810
81,18.534057,16.503934
82,1.871981,10.221808
83,18.416547,16.431825
84,8.959805,13.738110
85,7.842621,14.380097
86,13.534993,5.250693
87,1.469048,12.174800
88,14.338916,12.333643
89,0.208067,1.999698
90,2.611335,15.327556
91,3.205665,15.360173
92,7.045873,17.910305
93,14.863644,7.212313
94,15.172643,2.802767
95,13.888801,11.329807
96,13.267443,10.249213
97,8.842242,13.026110
98,18.463149,8.350042
99,17.511543,8.473912
100,16.410649,13.348283
101,16.609485,12.649301
102,11.577631,2.572931
103,10.793574,14.141265
104,11.466775,13.462723
105,2.480116,2.665239
106,4.670022,14.471042
107,4.374000,13.790056
108,-0.509038,10.118130
109,-0.071454,10.055761
110,19.080241,14.632150
111,4.526328,6.707131
112,3.519563,7.402971
113,3.088173,7.080715
114,3.312269,2.914537
115,2.751743,3.482163
116,0.786703,15.871865
