obs_id,true_cell_id
0,0
1,5
2,8
3,9
4,11
5,13
6,14
7,16
8,17
9,20
10,23
11,25
12,26
13,28
14,29
15,31
16,34
17,35
18,37
19,38
20,42
21,46
22,49
23,51
24,54
25,56
26,57
27,59
28,62
29,67
30,68
31,69
32,71
33,74
34,75
35,78
36,81
37,82
38,83
39,84
40,85
41,86
42,87
43,88
44,89
45,92
46,93
47,94
48,97
49,100
50,101
51,102
52,104
53,105
54,106
55,107
56,110
57,111
58,113
59,114
60,115
61,118
62,121
63,122
64,123
65,126
66,127
67,128
68,129
69,130
70,131
71,132
72,133
73,134
74,136
75,138
76,147
77,148
78,149
79,150
80,151
81,153
82,154
83,158
84,160
85,162
86,163
87,165
88,166
89,167
90,169
91,171
92,173
93,175
94,177
95,178
96,180
97,181
98,182
99,183
100,185
101,187
102,189
103,191
104,192
105,193
106,196
107,199
108,200
109,201
110,203
111,204
112,206
113,208
114,209
115,210
116,211
117,212
118,213
119,214
120,215
121,216
122,217
123,218
124,220
125,221
126,222
127,224
128,225
129,226
130,227
131,228
132,229
133,231
134,232
135,233
136,234
137,235
138,236
139,237
140,239
141,242
142,244
143,245
144,246
145,247
146,248
147,249
148,250
149,251
150,252
151,253
152,254
153,255
154,256
155,257
156,258
157,259
158,260
159,261
160,262
161,263
162,264
163,265
164,266
165,267
166,268
167,269
168,270
169,272
170,273
171,274
172,275
173,276
174,277
175,278
176,279
177,280
178,282
179,284
180,285
181,286
182,287
183,288
184,289
185,290
186,291
187,292
188,293
189,294
190,295
191,296
192,297
193,298
194,299
195,300
196,301
197,302
198,303
199,304
200,306
201,307
202,308
203,309
204,310
205,311
