descendant_obs_id,ancestor_obs_id
0,1
1,4
2,5
3,6
4,8
5,9
6,11
7,12
8,13
9,15
10,16
11,18
12,25
13,27
14,29
15,30
16,31
17,32
18,34
19,36
20,38
21,40
22,41
23,44
24,47
25,48
26,49
27,50
28,53
29,54
30,55
31,57
32,59
33,60
34,63
35,65
36,66
37,67
38,68
39,70
40,71
41,76
42,77
43,78
44,80
45,81
46,82
47,85
48,86
49,88
50,89
51,91
52,92
53,93
54,94
55,96
56,97
57,98
58,99
59,100
60,102
61,104
62,105
63,108
64,112
65,113
66,114
67,117
68,119
69,122
70,123
71,125
72,126
73,127
74,128
75,129
76,130
77,131
78,132
79,133
80,134
81,135
82,137
83,141
84,142
85,143
86,145
87,147
88,149
89,151
90,152
91,153
92,155
93,160
94,164
95,167
96,168
97,169
98,171
99,172
100,177
101,178
102,180
103,181
104,182
105,186
106,161
107,161
108,101
109,101
110,7
111,79
112,79
113,188
114,72
115,72
116,21
117,21
118,175
119,175
120,106
121,101
122,101
123,22
124,140
125,140
126,157
127,139
128,187
129,154
130,109
131,109
132,24
133,24
134,118
135,118
136,20
137,20
138,24
139,24
140,187
141,111
142,111
143,163
144,101
145,2
146,165
147,165
148,138
149,138
150,42
151,42
152,84
153,84
154,146
155,28
156,61
157,174
158,174
159,14
160,14
161,166
162,45
163,26
164,83
165,23
166,46
167,139
168,139
169,74
170,74
171,136
172,39
173,138
174,144
175,144
176,184
177,43
178,43
179,146
180,83
181,83
182,146
183,163
184,163
185,37
186,58
187,58
188,179
189,179
190,39
191,39
192,2
193,2
194,138
195,138
196,101
197,173
198,173
199,103
200,166
201,166
202,23
203,188
204,52
205,52
206,64
207,39
208,39
209,124
210,23
211,23
212,45
213,188
214,19
215,156
216,33
217,33
218,39
219,64
220,64
221,124
222,124
223,19
224,19
225,159
226,159
227,188
228,188
229,35
230,35
231,73
232,90
233,90
234,62
235,69
236,69
237,95
238,95
239,148
240,148
241,183
242,45
243,45
244,146
245,185
246,185
247,7
248,7
249,170
250,170
251,139
252,139
253,183
254,183
255,173
256,173
257,184
258,103
259,103
260,75
261,75
262,22
263,22
264,28
265,101
266,56
267,56
268,110
269,110
270,43
271,43
272,73
273,73
274,37
275,37
276,51
277,51
278,176
279,136
280,157
281,157
282,148
283,148
284,106
285,106
286,187
287,187
288,24
289,24
290,0
291,0
292,61
293,61
294,146
295,146
296,156
297,3
298,3
299,107
300,107
301,62
302,26
303,26
304,62
305,62
306,116
307,43
308,43
309,156
310,156
311,184
312,184
313,139
314,139
315,136
316,150
317,150
318,101
319,101
320,116
321,116
322,120
323,120
324,176
325,176
326,10
327,46
328,46
329,115
330,115
331,7
332,7
333,10
334,10
335,154
336,154
337,87
338,87
339,28
340,28
341,17
342,17
343,146
344,146
345,158
346,158
347,136
348,136
349,121
350,121
351,162
352,162
353,39
354,39
