descendant_obs_id,ancestor_obs_id
0,0
1,1
2,2
3,3
4,4
5,5
6,8
7,9
8,15
9,18
10,20
11,22
12,23
13,24
14,25
15,27
16,29
17,30
18,37
19,38
20,39
21,41
22,42
23,43
24,45
25,47
26,49
27,50
28,51
29,52
30,54
31,57
32,58
33,59
34,60
35,61
36,62
37,63
38,64
39,65
40,66
41,67
42,68
43,69
44,70
45,71
46,74
47,76
48,78
49,80
50,85
51,86
52,88
53,89
54,90
55,91
56,93
57,95
58,96
59,99
60,100
61,101
62,102
63,103
64,107
65,108
66,110
67,111
68,112
69,114
70,115
71,116
72,117
73,120
74,121
75,123
76,124
77,126
78,127
79,128
80,129
81,131
82,132
83,133
84,135
85,136
86,137
87,138
88,139
89,142
90,143
91,144
92,146
93,148
94,149
95,151
96,152
97,153
98,154
99,155
100,156
101,157
102,158
103,159
104,160
105,161
106,162
107,164
108,165
109,166
110,167
111,168
112,169
113,170
114,171
115,172
116,174
117,176
118,178
119,182
120,183
121,185
122,186
123,187
124,188
125,189
126,190
127,192
128,26
129,75
130,75
131,40
132,40
133,83
134,83
135,12
136,12
137,125
138,125
139,119
140,119
141,28
142,28
143,147
144,147
145,122
146,56
147,56
148,181
149,21
150,73
151,73
152,145
153,145
154,72
155,72
156,140
157,150
158,150
159,79
160,79
161,163
162,163
163,34
164,173
165,173
166,48
167,48
168,104
169,32
170,32
171,81
172,122
173,87
174,87
175,141
176,141
177,104
178,104
179,16
180,16
181,14
182,21
183,21
184,134
185,53
186,53
187,118
188,118
189,118
190,122
191,181
192,181
193,14
194,14
195,82
196,113
197,113
198,180
199,180
200,179
201,179
202,130
203,130
204,134
205,134
206,35
207,35
208,26
209,26
210,17
211,140
212,140
213,82
214,82
215,184
216,184
217,11
218,11
219,191
220,34
221,34
222,6
223,6
224,97
225,97
226,17
227,17
228,36
229,36
230,46
231,105
232,105
233,94
234,94
235,106
236,106
237,19
238,191
239,191
240,33
241,33
242,98
243,98
244,7
245,7
246,175
247,175
248,31
249,31
250,84
251,84
252,77
253,77
254,44
255,44
256,81
257,81
258,177
259,177
260,122
261,122
262,35
263,35
264,10
265,10
266,55
267,92
268,92
269,109
270,109
271,55
272,55
273,13
274,13
275,19
276,19
277,145
278,145
279,14
280,14
281,46
282,46
