cell_id,parent_id,founder_id,birth_time,div_time
0,-1,0,0.000000,0.100304
1,-1,1,0.000000,1.120667
2,-1,2,0.000000,
3,-1,3,0.000000,0.407482
4,-1,4,0.000000,1.401015
5,-1,5,0.000000,0.875206
6,-1,6,0.000000,0.022327
7,-1,7,0.000000,1.685254
8,-1,8,0.000000,0.128290
9,-1,9,0.000000,0.270166
10,-1,10,0.000000,0.886340
11,-1,11,0.000000,1.804490
12,-1,12,0.000000,0.248779
13,-1,13,0.000000,
14,-1,14,0.000000,
15,-1,15,0.000000,1.204575
16,-1,16,0.000000,1.130994
17,-1,17,0.000000,0.641213
18,-1,18,0.000000,1.891474
19,-1,19,0.000000,1.252618
20,-1,20,0.000000,0.079870
21,-1,21,0.000000,0.511971
22,-1,22,0.000000,0.062151
23,-1,23,0.000000,0.389661
24,-1,24,0.000000,0.006228
25,-1,25,0.000000,1.632204
26,-1,26,0.000000,0.066163
27,-1,27,0.000000,0.415186
28,-1,28,0.000000,0.164383
29,-1,29,0.000000,0.826930
30,-1,30,0.000000,0.275979
31,-1,31,0.000000,0.055950
32,-1,32,0.000000,
33,-1,33,0.000000,0.835277
34,-1,34,0.000000,0.934834
35,-1,35,0.000000,
36,-1,36,0.000000,1.028971
37,-1,37,0.000000,0.832811
38,-1,38,0.000000,0.487703
39,-1,39,0.000000,
40,-1,40,0.000000,0.351542
41,-1,41,0.000000,
42,-1,42,0.000000,0.825827
43,-1,43,0.000000,
44,-1,44,0.000000,0.267844
45,-1,45,0.000000,0.348068
46,-1,46,0.000000,0.085969
47,-1,47,0.000000,1.283008
48,-1,48,0.000000,
49,-1,49,0.000000,1.174292
50,-1,50,0.000000,0.531592
51,-1,51,0.000000,0.061624
52,-1,52,0.000000,1.095537
53,-1,53,0.000000,
54,-1,54,0.000000,0.313868
55,-1,55,0.000000,1.178450
56,-1,56,0.000000,1.152556
57,-1,57,0.000000,0.431262
58,-1,58,0.000000,0.148192
59,-1,59,0.000000,1.884282
60,-1,60,0.000000,
61,-1,61,0.000000,0.730704
62,-1,62,0.000000,1.771669
63,-1,63,0.000000,0.260171
64,-1,64,0.000000,1.554950
65,-1,65,0.000000,1.679436
66,-1,66,0.000000,
67,-1,67,0.000000,0.605847
68,-1,68,0.000000,
69,-1,69,0.000000,0.241586
70,-1,70,0.000000,1.803288
71,-1,71,0.000000,0.270823
72,-1,72,0.000000,1.848491
73,-1,73,0.000000,0.073681
74,-1,74,0.000000,1.038842
75,-1,75,0.000000,0.111940
76,-1,76,0.000000,
77,-1,77,0.000000,0.448570
78,-1,78,0.000000,1.761570
79,-1,79,0.000000,
80,-1,80,0.000000,0.266385
81,-1,81,0.000000,0.647329
82,-1,82,0.000000,0.137887
83,-1,83,0.000000,1.507956
84,-1,84,0.000000,0.089903
85,-1,85,0.000000,
86,-1,86,0.000000,0.116255
87,-1,87,0.000000,0.654463
88,-1,88,0.000000,
89,-1,89,0.000000,1.133072
90,-1,90,0.000000,0.654591
91,-1,91,0.000000,1.494177
92,-1,92,0.000000,0.449576
93,-1,93,0.000000,
94,-1,94,0.000000,0.276061
95,-1,95,0.000000,0.608196
96,-1,96,0.000000,0.401342
97,-1,97,0.000000,1.715871
98,-1,98,0.000000,
99,-1,99,0.000000,1.537026
100,24,24,0.006228,
101,24,24,0.006228,0.708749
102,6,6,0.022327,0.667129
103,6,6,0.022327,
104,31,31,0.055950,
105,31,31,0.055950,
106,51,51,0.061624,0.249553
107,51,51,0.061624,0.540863
108,22,22,0.062151,0.870251
109,22,22,0.062151,0.142433
110,26,26,0.066163,1.494875
111,26,26,0.066163,1.486501
112,73,73,0.073681,0.998670
113,73,73,0.073681,0.230345
114,20,20,0.079870,
115,20,20,0.079870,
116,46,46,0.085969,
117,46,46,0.085969,0.374674
118,84,84,0.089903,0.779003
119,84,84,0.089903,
120,0,0,0.100304,1.592032
121,0,0,0.100304,
122,75,75,0.111940,
123,75,75,0.111940,1.205899
124,86,86,0.116255,1.348136
125,86,86,0.116255,1.885842
126,8,8,0.128290,
127,8,8,0.128290,0.471934
128,82,82,0.137887,1.994759
129,82,82,0.137887,
130,109,22,0.142433,0.675114
131,109,22,0.142433,1.604507
132,58,58,0.148192,0.570847
133,58,58,0.148192,
134,28,28,0.164383,0.809039
135,28,28,0.164383,
136,113,73,0.230345,
137,113,73,0.230345,
138,69,69,0.241586,0.878341
139,69,69,0.241586,
140,12,12,0.248779,1.810119
141,12,12,0.248779,1.607378
142,106,51,0.249553,1.083195
143,106,51,0.249553,0.664953
144,63,63,0.260171,0.985508
145,63,63,0.260171,1.443495
146,80,80,0.266385,0.942195
147,80,80,0.266385,
148,44,44,0.267844,1.589032
149,44,44,0.267844,0.428466
150,9,9,0.270166,
151,9,9,0.270166,
152,71,71,0.270823,
153,71,71,0.270823,
154,30,30,0.275979,0.754355
155,30,30,0.275979,
156,94,94,0.276061,0.599180
157,94,94,0.276061,
158,54,54,0.313868,
159,54,54,0.313868,0.643900
160,45,45,0.348068,0.906375
161,45,45,0.348068,1.414106
162,40,40,0.351542,
163,40,40,0.351542,0.613383
164,117,46,0.374674,1.246412
165,117,46,0.374674,
166,23,23,0.389661,
167,23,23,0.389661,1.109573
168,96,96,0.401342,0.526908
169,96,96,0.401342,1.101669
170,3,3,0.407482,
171,3,3,0.407482,0.935116
172,27,27,0.415186,1.468663
173,27,27,0.415186,1.251262
174,149,44,0.428466,0.587795
175,149,44,0.428466,1.350607
176,57,57,0.431262,0.516386
177,57,57,0.431262,1.729112
178,77,77,0.448570,
179,77,77,0.448570,
180,92,92,0.449576,
181,92,92,0.449576,1.179638
182,127,8,0.471934,1.386326
183,127,8,0.471934,
184,38,38,0.487703,0.517078
185,38,38,0.487703,1.336337
186,21,21,0.511971,
187,21,21,0.511971,1.971351
188,176,57,0.516386,1.144643
189,176,57,0.516386,0.954779
190,184,38,0.517078,1.705852
191,184,38,0.517078,1.205180
192,168,96,0.526908,0.574591
193,168,96,0.526908,
194,50,50,0.531592,
195,50,50,0.531592,1.108896
196,107,51,0.540863,
197,107,51,0.540863,1.072443
198,132,58,0.570847,1.524030
199,132,58,0.570847,0.957339
200,192,96,0.574591,0.580745
201,192,96,0.574591,
202,200,96,0.580745,1.456985
203,200,96,0.580745,
204,174,44,0.587795,0.867061
205,174,44,0.587795,0.614628
206,156,94,0.599180,1.620493
207,156,94,0.599180,
208,67,67,0.605847,
209,67,67,0.605847,
210,95,95,0.608196,
211,95,95,0.608196,1.075623
212,163,40,0.613383,1.562219
