cell_id,parent_id,founder_id,birth_time,div_time,div_x,div_y
0,-1,0,0.000000,1.840794,9.117673,8.413659
1,-1,1,0.000000,0.030775,13.746674,2.358578
2,-1,2,0.000000,,,
3,-1,3,0.000000,0.979193,9.212353,6.075442
4,-1,4,0.000000,1.281371,11.344743,13.541741
5,-1,5,0.000000,1.848820,9.012325,10.600108
6,-1,6,0.000000,0.974239,7.029491,14.394874
7,-1,7,0.000000,,,
8,-1,8,0.000000,,,
9,-1,9,0.000000,0.487350,8.142488,19.517903
10,-1,10,0.000000,,,
11,-1,11,0.000000,0.210910,7.943744,9.262726
12,-1,12,0.000000,1.074722,12.715650,6.781363
13,-1,13,0.000000,0.070631,19.832812,1.959744
14,-1,14,0.000000,0.832751,15.821542,17.674709
15,-1,15,0.000000,,,
16,-1,16,0.000000,,,
17,-1,17,0.000000,1.917472,11.476899,12.088944
18,-1,18,0.000000,0.060874,11.842923,5.109399
19,-1,19,0.000000,0.130138,6.381443,3.366415
20,-1,20,0.000000,,,
21,-1,21,0.000000,,,
22,-1,22,0.000000,0.349687,11.768346,15.565478
23,-1,23,0.000000,,,
24,-1,24,0.000000,0.480180,11.401648,13.532552
25,-1,25,0.000000,0.594080,6.052560,19.286265
26,-1,26,0.000000,1.346443,7.872902,15.033889
27,-1,27,0.000000,0.525713,13.533235,16.867218
28,-1,28,0.000000,0.629480,1.722000,2.949765
29,-1,29,0.000000,,,
30,-1,30,0.000000,0.165680,17.923570,0.758587
31,-1,31,0.000000,0.306549,3.763227,2.311159
32,-1,32,0.000000,0.096290,16.578552,13.894817
33,-1,33,0.000000,0.081985,7.591581,17.228711
34,-1,34,0.000000,,,
35,-1,35,0.000000,1.966047,1.828463,11.798079
36,-1,36,0.000000,0.142193,8.732119,11.818750
37,-1,37,0.000000,,,
38,-1,38,0.000000,0.416097,2.018767,8.612075
39,-1,39,0.000000,1.582546,2.065831,8.465954
40,-1,40,0.000000,0.965850,6.928407,9.954039
41,-1,41,0.000000,0.881141,11.254770,13.782733
42,-1,42,0.000000,1.228888,17.434820,6.141616
43,-1,43,0.000000,0.167323,7.708600,17.166369
44,-1,44,0.000000,1.089459,16.854919,11.952328
45,-1,45,0.000000,0.016985,7.386849,16.676540
46,-1,46,0.000000,1.124453,14.019540,5.943665
47,-1,47,0.000000,0.440956,7.050928,12.553376
48,-1,48,0.000000,0.265866,3.277915,7.102780
49,-1,49,0.000000,1.376549,3.516832,3.130431
50,-1,50,0.000000,0.538953,6.935696,15.079543
51,-1,51,0.000000,0.736929,16.384535,7.495877
52,-1,52,0.000000,1.099956,15.651310,10.933432
53,-1,53,0.000000,,,
54,-1,54,0.000000,1.366491,1.951650,14.517772
55,-1,55,0.000000,,,
