obs_id,x,y
0,12.892497,2.048067
1,10.258132,3.437224
2,6.123421,17.019511
3,6.546559,3.488799
4,11.369443,18.107926
5,1.679011,10.430852
6,5.851991,11.025287
7,14.364831,14.797527
8,24.591205,18.498679
9,11.767396,19.852002
10,18.092162,3.491107
11,13.593664,3.057260
12,19.254716,15.475386
13,2.387124,8.073954
14,14.994726,18.190652
15,6.185398,9.910628
16,1.890852,16.617871
17,14.123015,15.540555
18,-0.475086,10.944234
19,6.837981,7.057183
20,3.783166,5.340510
21,11.285529,0.288045
22,15.208561,3.087270
23,0.102331,9.264480
24,9.973373,6.768266
25,4.843814,10.203382
26,16.519220,8.109697
27,4.626396,0.329629
28,0.849858,8.634600
29,15.989363,16.311322
30,11.063645,3.508144
31,13.229994,8.564746
32,11.841207,11.553194
33,6.576826,13.183699
34,4.324733,14.226869
35,4.800244,3.782081
36,6.997568,10.645199
37,15.469465,12.441051
38,0.721873,5.630489
39,4.489548,-1.428663
40,4.097551,12.666633
41,16.175189,9.332084
42,10.404637,13.150403
43,11.876376,7.871862
44,-0.997877,3.002865
45,13.752463,3.376898
46,13.357242,16.271951
47,7.837775,13.628180
48,16.248775,16.112462
49,20.563120,2.409353
50,17.115651,7.144584
51,3.062877,11.702444
52,3.254618,16.786800
53,3.666124,4.723178
54,2.213149,4.877860
55,4.077326,-2.291316
56,17.007063,6.141324
57,0.711263,13.365278
58,13.534602,13.629516
59,3.200071,11.657940
60,7.373428,6.507697
61,7.179134,6.806513
62,1.989449,7.885662
63,6.880940,3.823537
64,21.267785,-2.638962
65,4.063164,20.779457
66,4.352995,21.002024
67,23.865420,11.419468
68,18.813866,11.475905
69,4.147772,10.867167
70,11.352247,-0.541907
71,11.485013,0.159116
72,12.394673,-0.265716
73,12.203896,1.768006
74,19.551535,20.072984
75,21.145571,18.537761
76,11.015514,-0.087584
77,11.745093,1.286070
78,9.136781,0.496020
79,-0.251867,11.269774
80,5.234423,18.782463
81,4.408908,17.185816
82,18.692836,10.291250
83,18.134445,11.203374
84,18.058621,20.141501
85,15.023309,10.337995
86,15.094134,10.986883
87,17.861514,10.361730
88,4.878257,6.479868
89,6.133345,5.547973
90,9.071168,6.191856
91,10.335513,6.163959
92,4.215423,18.087911
93,6.267504,16.077604
94,8.671273,17.200257
95,20.333889,11.396062
96,14.067245,1.261716
97,11.655819,2.305529
98,14.353727,13.932650
99,13.902637,12.843180
100,11.760640,16.070879
101,-1.212890,11.273027
102,8.852842,12.217764
103,9.233574,3.405606
104,13.013476,13.043611
105,15.773505,15.168842
106,16.995279,5.096932
107,20.610468,6.905292
108,6.110134,16.398413
109,7.699204,17.922123
110,17.659876,9.388574
111,17.799322,11.045042
112,0.103000,9.735582
113,18.713107,-0.114862
114,17.774924,1.270400
115,9.007082,11.739830
116,8.423913,12.118819
117,17.521111,3.972693
118,15.272610,4.406508
119,4.152749,11.992353
120,21.727781,10.371246
121,13.677007,2.787913
122,15.549965,15.862350
123,10.927549,16.399482
124,11.687401,13.145017
125,12.421868,3.639875
126,14.209503,6.006706
127,10.604769,2.675918
128,11.483747,3.118139
129,2.776957,4.192095
130,-0.858770,13.007816
131,-1.445809,11.784240
132,18.373751,17.329825
133,18.439566,17.387914
134,8.330092,11.841503
135,9.634898,12.029196
136,19.706864,10.475396
137,-2.240373,12.032509
138,-2.704231,12.312395
139,3.351729,3.383312
140,5.972571,4.204598
141,17.253637,5.416663
142,18.751546,5.686626
143,13.646251,9.970255
144,13.670256,9.744177
145,21.090330,12.053328
146,21.412727,12.595160
147,5.076943,0.746986
148,4.176197,1.962936
149,4.360629,5.936108
150,5.667334,7.819312
151,0.355548,10.495210
152,1.261119,11.830711
153,1.346500,10.598501
154,4.240506,6.087657
155,3.939104,8.989528
156,8.545249,21.850232
157,8.812313,21.750147
158,12.512158,5.816920
159,13.013714,5.462778
160,10.732441,8.721232
161,10.195610,7.665835
162,3.678336,-0.555606
163,16.547064,1.371695
164,15.941417,2.868102
165,6.193353,13.572633
166,6.541542,13.905779
167,1.580538,10.686941
168,1.444819,11.234769
169,4.418598,19.230672
170,3.235632,19.236766
171,6.789780,8.170668
172,5.934216,8.145417
173,4.326248,1.037571
174,4.904667,-0.357886
175,6.847256,14.398913
176,6.628733,15.569474
177,7.610125,15.173077
178,7.864795,14.550532
179,3.551437,10.997947
180,3.666668,11.079948
181,-0.228619,11.717075
182,-0.312497,11.480943
183,9.071980,4.637145
184,8.834790,5.010686
185,20.053564,13.017833
186,19.982465,13.169035
187,2.313431,2.890899
188,2.453121,2.803444
189,16.968809,13.448033
190,16.897036,13.728963
191,13.824868,1.168707
192,13.858460,1.172679
