figure,panel,transition,method,metric,replicate,accuracy
1,exp1,0→1,NN,top-1,0,0.7675675675675676
1,exp1,0→1,NN,top-1,1,0.7669902912621359
1,exp1,0→1,NN,top-1,2,0.7712765957446809
1,exp1,0→1,NN,top-1,3,0.6926605504587156
1,exp1,0→1,NN,top-1,4,0.8076923076923077
1,exp1,0→1,NN,top-1,5,0.7668393782383419
1,exp1,0→1,NN,top-1,6,0.7746478873239436
1,exp1,0→1,NN,top-1,7,0.7564766839378239
1,exp1,0→1,NN,top-1,8,0.696969696969697
1,exp1,0→1,NN,top-1,9,0.671957671957672
1,exp1,0→1,NN,top-3,0,0.9783783783783784
1,exp1,0→1,NN,top-3,1,0.9854368932038835
1,exp1,0→1,NN,top-3,2,0.973404255319149
1,exp1,0→1,NN,top-3,3,0.9862385321100917
1,exp1,0→1,NN,top-3,4,0.9945054945054945
1,exp1,0→1,NN,top-3,5,0.9844559585492227
1,exp1,0→1,NN,top-3,6,0.971830985915493
1,exp1,0→1,NN,top-3,7,0.9792746113989638
1,exp1,0→1,NN,top-3,8,0.9545454545454546
1,exp1,0→1,NN,top-3,9,0.9523809523809523
1,exp1,1→2,NN,top-1,0,0.4725848563968668
1,exp1,1→2,NN,top-1,1,0.5295566502463054
1,exp1,1→2,NN,top-1,2,0.47745358090185674
1,exp1,1→2,NN,top-1,3,0.4054669703872437
1,exp1,1→2,NN,top-1,4,0.4712041884816754
1,exp1,1→2,NN,top-1,5,0.5450236966824644
1,exp1,1→2,NN,top-1,6,0.45232273838630804
1,exp1,1→2,NN,top-1,7,0.46630727762803237
1,exp1,1→2,NN,top-1,8,0.48564593301435405
1,exp1,1→2,NN,top-1,9,0.4619718309859155
1,exp1,1→2,NN,top-3,0,0.8381201044386423
1,exp1,1→2,NN,top-3,1,0.8596059113300493
1,exp1,1→2,NN,top-3,2,0.830238726790451
1,exp1,1→2,NN,top-3,3,0.7904328018223234
1,exp1,1→2,NN,top-3,4,0.8795811518324608
1,exp1,1→2,NN,top-3,5,0.8483412322274881
1,exp1,1→2,NN,top-3,6,0.8117359413202934
1,exp1,1→2,NN,top-3,7,0.7951482479784366
1,exp1,1→2,NN,top-3,8,0.8229665071770335
1,exp1,1→2,NN,top-3,9,0.7887323943661971
1,exp2,0→0.5,NN,top-1,0,0.8636363636363636
1,exp2,0→0.5,NN,top-1,1,0.85
1,exp2,0→0.5,NN,top-1,2,0.8840579710144928
1,exp2,0→0.5,NN,top-1,3,0.8717948717948718
1,exp2,0→0.5,NN,top-1,4,0.8518518518518519
1,exp2,0→0.5,NN,top-1,5,0.8592592592592593
1,exp2,0→0.5,NN,top-1,6,0.821917808219178
1,exp2,0→0.5,NN,top-1,7,0.7518248175182481
1,exp2,0→0.5,NN,top-1,8,0.8251748251748252
1,exp2,0→0.5,NN,top-1,9,0.8163265306122449
1,exp2,0→0.5,NN,top-3,0,1.0
1,exp2,0→0.5,NN,top-3,1,1.0
1,exp2,0→0.5,NN,top-3,2,0.9855072463768116
1,exp2,0→0.5,NN,top-3,3,1.0
1,exp2,0→0.5,NN,top-3,4,0.9925925925925926
1,exp2,0→0.5,NN,top-3,5,0.9925925925925926
