figure,panel,transition,method,metric,replicate,accuracy
1,exp1,0→1,entropic-kl,top-1,0,0.7297297297297297
1,exp1,0→1,mm-kl,top-1,0,0.6162162162162163
1,exp1,0→1,mm-l2,top-1,0,0.6432432432432432
1,exp1,0→1,partial,top-1,0,0.5351351351351351
1,exp1,1→2,entropic-kl,top-1,0,0.4595300261096606
1,exp1,1→2,mm-kl,top-1,0,0.43342036553524804
1,exp1,1→2,mm-l2,top-1,0,0.43342036553524804
1,exp1,1→2,partial,top-1,0,0.370757180156658
1,exp1,0→1,entropic-kl,top-1,1,0.6941747572815534
1,exp1,0→1,mm-kl,top-1,1,0.6407766990291263
1,exp1,0→1,mm-l2,top-1,1,0.6553398058252428
1,exp1,0→1,partial,top-1,1,0.6067961165048543
1,exp1,1→2,entropic-kl,top-1,1,0.47783251231527096
1,exp1,1→2,mm-kl,top-1,1,0.4408866995073892
1,exp1,1→2,mm-l2,top-1,1,0.4753694581280788
1,exp1,1→2,partial,top-1,1,0.39901477832512317
1,exp1,0→1,entropic-kl,top-1,2,0.723404255319149
1,exp1,0→1,mm-kl,top-1,2,0.6382978723404256
1,exp1,0→1,mm-l2,top-1,2,0.6595744680851063
1,exp1,0→1,partial,top-1,2,0.5531914893617021
1,exp1,1→2,entropic-kl,top-1,2,0.3978779840848806
1,exp1,1→2,mm-kl,top-1,2,0.38992042440318303
1,exp1,1→2,mm-l2,top-1,2,0.4376657824933687
1,exp1,1→2,partial,top-1,2,0.32625994694960214
1,exp1,0→1,entropic-kl,top-1,3,0.6605504587155964
1,exp1,0→1,mm-kl,top-1,3,0.5779816513761468
1,exp1,0→1,mm-l2,top-1,3,0.6055045871559633
1,exp1,0→1,partial,top-1,3,0.555045871559633
1,exp1,1→2,entropic-kl,top-1,3,0.3895216400911162
1,exp1,1→2,mm-kl,top-1,3,0.3917995444191344
1,exp1,1→2,mm-l2,top-1,3,0.4168564920273349
1,exp1,1→2,partial,top-1,3,0.3097949886104784
1,exp1,0→1,entropic-kl,top-1,4,0.7252747252747253
1,exp1,0→1,mm-kl,top-1,4,0.6263736263736264
1,exp1,0→1,mm-l2,top-1,4,0.6263736263736264
1,exp1,0→1,partial,top-1,4,0.5824175824175825
1,exp1,1→2,entropic-kl,top-1,4,0.418848167539267
1,exp1,1→2,mm-kl,top-1,4,0.4083769633507853
1,exp1,1→2,mm-l2,top-1,4,0.4397905759162304
1,exp1,1→2,partial,top-1,4,0.32460732984293195
1,exp1,0→1,entropic-kl,top-1,5,0.7512953367875648
1,exp1,0→1,mm-kl,top-1,5,0.6217616580310881
1,exp1,0→1,mm-l2,top-1,5,0.6580310880829016
1,exp1,0→1,partial,top-1,5,0.5284974093264249
1,exp1,1→2,entropic-kl,top-1,5,0.47393364928909953
