figure,panel,transition,method,metric,replicate,accuracy
1,exp1,0→1,entropic-kl,top-1,0,0.572972972972973
1,exp1,0→1,mm-kl,top-1,0,0.5837837837837838
1,exp1,0→1,mm-l2,top-1,0,0.3891891891891892
1,exp1,0→1,partial,top-1,0,0.44324324324324327
1,exp1,0→1,covered-lp,top-1,0,0.5243243243243243
1,exp1,1→2,entropic-kl,top-1,0,0.6919060052219321
1,exp1,1→2,mm-kl,top-1,0,0.7049608355091384
1,exp1,1→2,mm-l2,top-1,0,0.48825065274151436
1,exp1,1→2,partial,top-1,0,0.5744125326370757
1,exp1,1→2,covered-lp,top-1,0,0.6762402088772846
1,exp1,0→1,entropic-kl,top-1,1,0.4029126213592233
1,exp1,0→1,mm-kl,top-1,1,0.4320388349514563
1,exp1,0→1,mm-l2,top-1,1,0.3446601941747573
1,exp1,0→1,partial,top-1,1,0.35436893203883496
1,exp1,0→1,covered-lp,top-1,1,0.35436893203883496
1,exp1,1→2,entropic-kl,top-1,1,0.7389162561576355
1,exp1,1→2,mm-kl,top-1,1,0.7512315270935961
1,exp1,1→2,mm-l2,top-1,1,0.5123152709359606
1,exp1,1→2,partial,top-1,1,0.6083743842364532
1,exp1,1→2,covered-lp,top-1,1,0.7093596059113301
1,exp1,0→1,entropic-kl,top-1,2,0.5106382978723404
1,exp1,0→1,mm-kl,top-1,2,0.5425531914893617
1,exp1,0→1,mm-l2,top-1,2,0.40425531914893614
1,exp1,0→1,partial,top-1,2,0.4521276595744681
1,exp1,0→1,covered-lp,top-1,2,0.4946808510638298
1,exp1,1→2,entropic-kl,top-1,2,0.7374005305039788
1,exp1,1→2,mm-kl,top-1,2,0.726790450928382
1,exp1,1→2,mm-l2,top-1,2,0.6127320954907162
1,exp1,1→2,partial,top-1,2,0.6047745358090185
1,exp1,1→2,covered-lp,top-1,2,0.7055702917771883
1,exp1,0→1,entropic-kl,top-1,3,0.44495412844036697
1,exp1,0→1,mm-kl,top-1,3,0.4541284403669725
1,exp1,0→1,mm-l2,top-1,3,0.38990825688073394
1,exp1,0→1,partial,top-1,3,0.3761467889908257
1,exp1,0→1,covered-lp,top-1,3,0.43119266055045874
1,exp1,1→2,entropic-kl,top-1,3,0.7403189066059226
1,exp1,1→2,mm-kl,top-1,3,0.715261958997722
1,exp1,1→2,mm-l2,top-1,3,0.6605922551252847
1,exp1,1→2,partial,top-1,3,0.5945330296127562
1,exp1,1→2,covered-lp,top-1,3,0.7198177676537585
1,exp1,0→1,entropic-kl,top-1,4,0.510989010989011
1,exp1,0→1,mm-kl,top-1,4,0.5439560439560439
1,exp1,0→1,mm-l2,top-1,4,0.42857142857142855
1,exp1,0→1,partial,top-1,4,0.43956043956043955
1,exp1,0→1,covered-lp,top-1,4,0.489010989010989
1,exp1,1→2,entropic-kl,top-1,4,0.6858638743455497
1,exp1,1→2,mm-kl,top-1,4,0.6963350785340314
1,exp1,1→2,mm-l2,top-1,4,0.49214659685863876
1,exp1,1→2,partial,top-1,4,0.5418848167539267
1,exp1,1→2,covered-lp,top-1,4,0.6780104712041884
1,exp1,0→1,entropic-kl,top-1,5,0.41450777202072536
1,exp1,0→1,mm-kl,top-1,5,0.41968911917098445
1,exp1,0→1,mm-l2,top-1,5,0.40932642487046633
1,exp1,0→1,partial,top-1,5,0.36787564766839376
1,exp1,0→1,covered-lp,top-1,5,0.41968911917098445
1,exp1,1→2,entropic-kl,top-1,5,0.6374407582938388
1,exp1,1→2,mm-kl,top-1,5,0.6374407582938388
1,exp1,1→2,mm-l2,top-1,5,0.6208530805687204
1,exp1,1→2,partial,top-1,5,0.5355450236966824
1,exp1,1→2,covered-lp,top-1,5,0.6398104265402843
1,exp1,0→1,entropic-kl,top-1,6,0.5023474178403756
1,exp1,0→1,mm-kl,top-1,6,0.5070422535211268
1,exp1,0→1,mm-l2,top-1,6,0.4131455399061033
1,exp1,0→1,partial,top-1,6,0.4272300469483568
1,exp1,0→1,covered-lp,top-1,6,0.4788732394366197
1,exp1,1→2,entropic-kl,top-1,6,0.7530562347188264
1,exp1,1→2,mm-kl,top-1,6,0.7579462102689487
1,exp1,1→2,mm-l2,top-1,6,0.58679706601467
1,exp1,1→2,partial,top-1,6,0.6112469437652812
1,exp1,1→2,covered-lp,top-1,6,0.7383863080684596
1,exp1,0→1,entropic-kl,top-1,7,0.5699481865284974
1,exp1,0→1,mm-kl,top-1,7,0.5647668393782384
1,exp1,0→1,mm-l2,top-1,7,0.41450777202072536
1,exp1,0→1,partial,top-1,7,0.45077720207253885
1,exp1,0→1,covered-lp,top-1,7,0.5077720207253886
