exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp1,0,0,1,0→1,entropic-kl,0.5945945945945946,0.014484118726662228,0.48033272151753387
exp1,0,0,1,0→1,mm-kl,0.5837837837837838,0.015710516009304593,0.5842936243041652
exp1,0,0,1,0→1,mm-l2,0.3621621621621622,0.00291952899166588,0.4731396469568807
exp1,0,0,1,0→1,partial,0.4648648648648649,0.03716178741966121,0.7000000000000001
exp1,0,1,2,1→2,entropic-kl,0.7127937336814621,0.015981813346024436,0.5769336795347391
exp1,0,1,2,1→2,mm-kl,0.7232375979112271,0.01692624523010336,0.718340716698512
exp1,0,1,2,1→2,mm-l2,0.4412532637075718,0.0024513356448715978,0.4671464807427785
exp1,0,1,2,1→2,partial,0.5822454308093995,0.01683621032075095,0.7000000000000001
exp1,1,0,1,0→1,entropic-kl,0.470873786407767,0.016600812697258042,0.4873735479166387
exp1,1,0,1,0→1,mm-kl,0.47572815533980584,0.017400732420774948,0.5891474066252402
exp1,1,0,1,0→1,mm-l2,0.32524271844660196,0.00395063968338302,0.46774880135469876
exp1,1,0,1,0→1,partial,0.3932038834951456,0.03510278815696152,0.7000000000000002
exp1,1,1,2,1→2,entropic-kl,0.7339901477832512,0.014994770692247736,0.6203194270537067
exp1,1,1,2,1→2,mm-kl,0.7315270935960592,0.015405121802542467,0.7734092982632355
exp1,1,1,2,1→2,mm-l2,0.5467980295566502,0.0030687758874456557,0.5033897244807697
exp1,1,1,2,1→2,partial,0.6009852216748769,0.012402380212901328,0.6999999999999996
exp1,2,0,1,0→1,entropic-kl,0.5212765957446809,0.01601443884855514,0.49770599404145366
exp1,2,0,1,0→1,mm-kl,0.5478723404255319,0.016967935920645005,0.6024362618078568
exp1,2,0,1,0→1,mm-l2,0.3776595744680851,0.0036117772019127973,0.48039631244540876
exp1,2,0,1,0→1,partial,0.43617021276595747,0.03231264816910771,0.6999999999999997
exp1,2,1,2,1→2,entropic-kl,0.753315649867374,0.015239597649469035,0.5853104700305533
exp1,2,1,2,1→2,mm-kl,0.7586206896551724,0.016071679978314733,0.7325063013913942
exp1,2,1,2,1→2,mm-l2,0.4960212201591512,0.0024767278307951677,0.49331508977448796
exp1,2,1,2,1→2,partial,0.5915119363395226,0.015454773544321006,0.6999999999999997
