exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp1,0,0,1,0→1,entropic-kl,0.7297297297297297,0.003659122097541477,0.8411801810876767
exp1,0,0,1,0→1,mm-kl,0.6162162162162163,0.001253986760421748,0.9833972069322245
exp1,0,0,1,0→1,mm-l2,0.6432432432432432,0.001057051582425921,0.9746502678696217
exp1,0,0,1,0→1,partial,0.5351351351351351,0.0002498370226679755,0.7000000000000001
exp1,0,1,2,1→2,entropic-kl,0.4595300261096606,0.0034188856611809416,0.8476444690438787
exp1,0,1,2,1→2,mm-kl,0.43342036553524804,0.0007862009160708978,0.99041097210409
exp1,0,1,2,1→2,mm-l2,0.43342036553524804,0.000571493529029782,0.9766122309045464
exp1,0,1,2,1→2,partial,0.370757180156658,0.00015346412963282243,0.7
exp1,1,0,1,0→1,entropic-kl,0.6941747572815534,0.0036719761688141705,0.8390675283597457
exp1,1,0,1,0→1,mm-kl,0.6407766990291263,0.0013071120899296003,0.9808778381715517
exp1,1,0,1,0→1,mm-l2,0.6553398058252428,0.001053152527006464,0.9702269217508112
exp1,1,0,1,0→1,partial,0.6067961165048543,0.00023130947481460866,0.7000000000000002
exp1,1,1,2,1→2,entropic-kl,0.47783251231527096,0.003487130699350667,0.8432876119596346
exp1,1,1,2,1→2,mm-kl,0.4408866995073892,0.000936679985693664,0.9882300571300189
exp1,1,1,2,1→2,mm-l2,0.4753694581280788,0.0006567963121748312,0.9697455728352333
exp1,1,1,2,1→2,partial,0.39901477832512317,0.00017922065523335632,0.6999999999999996
exp1,2,0,1,0→1,entropic-kl,0.723404255319149,0.003488586766049273,0.8387721992504983
exp1,2,0,1,0→1,mm-kl,0.6382978723404256,0.0011560247586347547,0.9825460514506257
exp1,2,0,1,0→1,mm-l2,0.6595744680851063,0.0010004467535064904,0.973079679337419
exp1,2,0,1,0→1,partial,0.5531914893617021,0.00024312982625246155,0.6999999999999997
exp1,2,1,2,1→2,entropic-kl,0.3978779840848806,0.0032027627713430177,0.8437594208409469
exp1,2,1,2,1→2,mm-kl,0.38992042440318303,0.0008352201122004712,0.9885495266968147
exp1,2,1,2,1→2,mm-l2,0.4376657824933687,0.0005623972991190271,0.9724653723804555
